Top,PIPE,STATION,Tree1,Mask1,Tree2,Mask2,Status,Enable0,Enable1,Status Injection,Error Injection,Reviewed,Comments
HOST,,,,,,,,,,,,,
0-21,,,,,,,device_select.pcie_bar01_regs.pcie_intr.stat[21:0],device_select.pcie_bar01_regs.pcie_intr.en0,device_select.pcie_bar01_regs.pcie_intr.en1,device_select.pcie_bar01_regs.pcie_intr.inj,device_select.pcie_bar01_regs.sram_ecc,,
22-23,,,,,,,reserved,,,,,,
24-25,,,,,,,device_select.misc_all_regs.misc_regs.misc_intr.stat,device_select.misc_all_regs.misc_regs.misc_intr.en0,device_select.misc_all_regs.misc_regs.misc_intr.en1,device_select.misc_all_regs.misc_regs.misc_intr.inj,device_select.misc_all_regs.misc_regs.sram_ecc,,
26-27,,,,,,,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.stat,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.en0,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.en1,device_select.misc_all_regs.gpio_regs.gpio_common_regs.eth_gpio_intr.inj,,,
28-31,,,,,,,reserved,,,,,,
,,,,,,,,,,,,,
TBUS,,,,,,,,,,,,,
32:33,,TBC,,,,,device_select.tbc.tbc_tbus.intr_stat0,device_select.tbc.tbc_tbus.intr_en0_0,device_select.tbc.tbc_tbus.intr_en0_1,,,,
,,,,,,,device_select.tbc.tbc_tbus.intr_stat1,device_select.tbc.tbc_tbus.intr_en1_0,device_select.tbc.tbc_tbus.intr_en1_1,,,,
,,,,,,,device_select.tbc.tbc_tbus.intr_stat2,device_select.tbc.tbc_tbus.intr_en2_0,device_select.tbc.tbc_tbus.intr_en2_1,,device_select.tbc.tbc_tbus.intr_inj,,
34:63,,Reserved,,,,,,,,,,,
CBUS,,,,,,,,,,,,,
64:65,,WAC,,,,,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.stat,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.en0,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.en1,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.inj,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.wac_ecc,Yes,
,,,,,,,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.stat,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.en0,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.en1,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.inj,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.wac_ecc,Yes,
,,,,,,,device_select.tm_top.tm_wac_top.wac_pipe[2].wac_reg.intr.stat,device_select.tm_top.tm_wac_top.wac_pipe[2].wac_reg.intr.en0,device_select.tm_top.tm_wac_top.wac_pipe[2].wac_reg.intr.en1,device_select.tm_top.tm_wac_top.wac_pipe[2].wac_reg.intr.inj,device_select.tm_top.tm_wac_top.wac_pipe[2].wac_reg.wac_ecc,Yes,
,,,,,,,device_select.tm_top.tm_wac_top.wac_pipe[3].wac_reg.intr.stat,device_select.tm_top.tm_wac_top.wac_pipe[3].wac_reg.intr.en0,device_select.tm_top.tm_wac_top.wac_pipe[3].wac_reg.intr.en1,device_select.tm_top.tm_wac_top.wac_pipe[3].wac_reg.intr.inj,device_select.tm_top.tm_wac_top.wac_pipe[3].wac_reg.wac_ecc,Yes,
66:67,,CAA,,,,,device_select.tm_top.tm_caa_top.intr.stat,device_select.tm_top.tm_caa_top.intr.en0,device_select.tm_top.tm_caa_top.intr.en1,device_select.tm_top.tm_caa_top.intr.inj,device_select.tm_top.tm_caa_top.ecc,Yes,
68:69,,QAC,,,device_select.tm_top.tm_qac_top.qac_common.qac_common.qac_intr_stat,"[8,0]",device_select.tm_top.tm_qac_top.qac_pipe[0].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[0].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[0].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[0].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[0].qac_reg.qac_ecc,Yes,
,,,,,,"[9,1]",device_select.tm_top.tm_qac_top.qac_pipe[1].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[1].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[1].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[1].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[1].qac_reg.qac_ecc,,
,,,,,,"[10,2]",device_select.tm_top.tm_qac_top.qac_pipe[2].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[2].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[2].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[2].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[2].qac_reg.qac_ecc,,
,,,,,,"[11,3]",device_select.tm_top.tm_qac_top.qac_pipe[3].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[3].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[3].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[3].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[3].qac_reg.qac_ecc,,
,,,,,,"[12,4]",device_select.tm_top.tm_qac_top.qac_pipe[4].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[4].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[4].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[4].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[4].qac_reg.qac_ecc,,
,,,,,,"[13,5]",device_select.tm_top.tm_qac_top.qac_pipe[5].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[5].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[5].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[5].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[5].qac_reg.qac_ecc,,
,,,,,,"[14,6]",device_select.tm_top.tm_qac_top.qac_pipe[6].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[6].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[6].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[6].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[6].qac_reg.qac_ecc,,
,,,,,,"[15,7]",device_select.tm_top.tm_qac_top.qac_pipe[7].qac_reg.intr.stat,device_select.tm_top.tm_qac_top.qac_pipe[7].qac_reg.intr.en0,device_select.tm_top.tm_qac_top.qac_pipe[7].qac_reg.intr.en1,device_select.tm_top.tm_qac_top.qac_pipe[7].qac_reg.intr.inj,device_select.tm_top.tm_qac_top.qac_pipe[7].qac_reg.qac_ecc,,
,,,,,,"[17,16]",device_select.tm_top.tm_qac_top.qac_common.qac_common.intr.stat,device_select.tm_top.tm_qac_top.qac_common.qac_common.intr.en0,device_select.tm_top.tm_qac_top.qac_common.qac_common.intr.en1,device_select.tm_top.tm_qac_top.qac_common.qac_common.intr.inj,device_select.tm_top.tm_qac_top.qac_common.qac_common.qac_common_ecc,,
,,,,,,,,,,,,,
70:71,,SCH,,,device_select.tm_top.tm_sch_top.sch[0].intr_all.status,"[1,0]",device_select.tm_top.tm_sch_top.sch[0].intr.stat,device_select.tm_top.tm_sch_top.sch[0].intr.en0,device_select.tm_top.tm_sch_top.sch[0].intr.en1,device_select.tm_top.tm_sch_top.sch[0].intr.inj,device_select.tm_top.tm_sch_top.sch[0].ecc,Yes,
,,,,,,"[3,2]",device_select.tm_top.tm_sch_top.sch[1].intr.stat,device_select.tm_top.tm_sch_top.sch[1].intr.en0,device_select.tm_top.tm_sch_top.sch[1].intr.en1,device_select.tm_top.tm_sch_top.sch[1].intr.inj,device_select.tm_top.tm_sch_top.sch[1].ecc,,
,,,,,,"[5,4]",device_select.tm_top.tm_sch_top.sch[2].intr.stat,device_select.tm_top.tm_sch_top.sch[2].intr.en0,device_select.tm_top.tm_sch_top.sch[2].intr.en1,device_select.tm_top.tm_sch_top.sch[2].intr.inj,device_select.tm_top.tm_sch_top.sch[2].ecc,,
,,,,,,"[7,6]",device_select.tm_top.tm_sch_top.sch[3].intr.stat,device_select.tm_top.tm_sch_top.sch[3].intr.en0,device_select.tm_top.tm_sch_top.sch[3].intr.en1,device_select.tm_top.tm_sch_top.sch[3].intr.inj,device_select.tm_top.tm_sch_top.sch[3].ecc,,
72:73,,DDRC,,,,,,,,,,,
74:75,,CLC,,,device_select.tm_top.tm_clc_top.clc[0].intr_all.status,"[1,0]",device_select.tm_top.tm_clc_top.clc[0].intr.stat,device_select.tm_top.tm_clc_top.clc[0].intr.en0,device_select.tm_top.tm_clc_top.clc[0].intr.en1,device_select.tm_top.tm_clc_top.clc[0].intr.inj,device_select.tm_top.tm_clc_top.clc[0].ecc,Yes,
,,,,,,"[3,2]",device_select.tm_top.tm_clc_top.clc[1].intr.stat,device_select.tm_top.tm_clc_top.clc[1].intr.en0,device_select.tm_top.tm_clc_top.clc[1].intr.en1,device_select.tm_top.tm_clc_top.clc[1].intr.inj,device_select.tm_top.tm_clc_top.clc[1].ecc,,
,,,,,,"[5,4]",device_select.tm_top.tm_clc_top.clc[2].intr.stat,device_select.tm_top.tm_clc_top.clc[2].intr.en0,device_select.tm_top.tm_clc_top.clc[2].intr.en1,device_select.tm_top.tm_clc_top.clc[2].intr.inj,device_select.tm_top.tm_clc_top.clc[2].ecc,,
,,,,,,"[7,6]",device_select.tm_top.tm_clc_top.clc[3].intr.stat,device_select.tm_top.tm_clc_top.clc[3].intr.en0,device_select.tm_top.tm_clc_top.clc[3].intr.en1,device_select.tm_top.tm_clc_top.clc[3].intr.inj,device_select.tm_top.tm_clc_top.clc[3].ecc,,
,,,,,,,,,,,,,
