Top,PIPE,STATION,Tree1,Mask1,Tree2,Mask2,Status,Enable0,Enable1,Status Injection,Error Injection
HOST,,,,,,,,,,,
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
TBUS,,,,,,,,,,,
32:33,,TBC,,,,,device_select.tbc.tbc_tbus.intr_stat0,device_select.tbc.tbc_tbus.intr_en0_0,device_select.tbc.tbc_tbus.intr_en0_1,,
,,,,,,,device_select.tbc.tbc_tbus.intr_stat1,device_select.tbc.tbc_tbus.intr_en1_0,device_select.tbc.tbc_tbus.intr_en1_1,,
,,,,,,,device_select.tbc.tbc_tbus.intr_stat2,device_select.tbc.tbc_tbus.intr_en2_0,device_select.tbc.tbc_tbus.intr_en2_1,,device_select.tbc.tbc_tbus.intr_inj
34:63,,Reserved,,,,,,,,,
CBUS,,,,,,,,,,,
64:65,,LF0,,,,,device_select.lfltr[0].ctrl.intr_stat,device_select.lfltr[0].ctrl.intr_en0,device_select.lfltr[0].ctrl.intr_en1,,device_select.lfltr[0].ctrl.intr_inj
66:67,,LF1,,,,,device_select.lfltr[1].ctrl.intr_stat,device_select.lfltr[1].ctrl.intr_en0,device_select.lfltr[1].ctrl.intr_en1,,device_select.lfltr[1].ctrl.intr_inj
68:69,,LF2,,,,,device_select.lfltr[2].ctrl.intr_stat,device_select.lfltr[2].ctrl.intr_en0,device_select.lfltr[2].ctrl.intr_en1,,device_select.lfltr[2].ctrl.intr_inj
70:71,,LF3,,,,,device_select.lfltr[3].ctrl.intr_stat,device_select.lfltr[3].ctrl.intr_en0,device_select.lfltr[3].ctrl.intr_en1,,device_select.lfltr[3].ctrl.intr_inj
72:73,,WAC,,,,,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.stat,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.en0,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.en1,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.intr.inj,device_select.tm_top.tm_wac_top.wac_pipe[0].wac_reg.wac_ecc
,,,,,,,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.stat,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.en0,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.en1,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.intr.inj,device_select.tm_top.tm_wac_top.wac_pipe[1].wac_reg.wac_ecc
